model,component,head_index,sample_size,family,ks_distance,log_likelihood,fit_gap,best_fit
distilgpt2,S_positive,25,64,lognormal,0.04894960754096378,-174.14832616308047,0.0,True
distilgpt2,S_positive,26,64,generalized_gamma,0.03954745388935493,-161.31829620013954,0.0,True
distilgpt2,S_positive,26,64,lognormal,0.06819514420497458,-164.74429192393757,3.4259957237980245,False
distilgpt2,S_positive,27,64,generalized_gamma,0.07590782729563866,-184.52430625261695,0.6927527194852132,False
distilgpt2,S_positive,27,64,lognormal,0.0661310120054941,-183.83155353313174,0.0,True
distilgpt2,S_positive,28,64,generalized_gamma,0.0478773326161781,-166.89109087851313,0.0,True
distilgpt2,S_positive,28,64,lognormal,0.16627640925732567,-186.3058009199719,19.41471004145876,False
distilgpt2,S_positive,29,64,generalized_gamma,0.0622398836188654,-177.4963257724521,0.1962805645954404,False
distilgpt2,S_positive,29,64,lognormal,0.051698010519999116,-177.30004520785667,0.0,True
distilgpt2,S_positive,30,64,generalized_gamma,0.0685381677024593,-114.0603735778358,0.3646989459856229,False
distilgpt2,S_positive,30,64,lognormal,0.06318159815527524,-113.69567463185018,0.0,True
distilgpt2,S_positive,31,64,generalized_gamma,0.028228291638504044,-159.97299281294005,0.0,True
distilgpt2,S_positive,31,64,lognormal,0.09054835668165906,-164.32971711239244,4.356724299452395,False
distilgpt2,S_positive,32,64,generalized_gamma,0.04138535012536049,-186.51354651306042,0.0,True
distilgpt2,S_positive,32,64,lognormal,0.06108230178131924,-187.80104876969654,1.2875022566361167,False
distilgpt2,S_positive,33,64,generalized_gamma,0.06722836800137733,-156.1272887086772,0.3376128828054732,False
distilgpt2,S_positive,33,64,lognormal,0.058482319946330574,-155.78967582587174,0.0,True
distilgpt2,S_positive,34,64,generalized_gamma,0.060509734376916036,-176.9889345810123,0.0,True
distilgpt2,S_positive,34,64,lognormal,0.10016280486639928,-182.49350385166912,5.504569270656816,False
distilgpt2,S_positive,35,64,generalized_gamma,0.07646705411643953,-287.3046035310795,0.0,True
distilgpt2,S_positive,35,64,lognormal,0.09896005620269244,-288.47298557385915,1.1683820427796263,False
distilgpt2,S_positive,36,64,generalized_gamma,0.049255700858997775,-164.860159362513,0.0,True
distilgpt2,S_positive,36,64,lognormal,0.06264442051419472,-166.46966931204838,1.6095099495353793,False
distilgpt2,S_positive,37,64,generalized_gamma,0.02877831514460838,-169.58872954482075,0.0,True
distilgpt2,S_positive,37,64,lognormal,0.10484931761221444,-174.93105738849573,5.34232784367498,False
distilgpt2,S_positive,38,64,generalized_gamma,0.035169183077205735,-199.58509251695807,0.0,True
distilgpt2,S_positive,38,64,lognormal,0.13517591535035434,-214.59287822800707,15.007785711048996,False
distilgpt2,S_positive,39,64,generalized_gamma,0.03983353960487446,-127.99897799975045,0.0,True
distilgpt2,S_positive,39,64,lognormal,0.08796890621126707,-134.00922294520709,6.010244945456634,False
distilgpt2,S_positive,40,64,generalized_gamma,0.035650770892891454,-128.88262274146354,0.0,True
distilgpt2,S_positive,40,64,lognormal,0.04129110422310123,-129.03953773798366,0.15691499652012908,False
distilgpt2,S_positive,41,64,generalized_gamma,0.034274499741564934,-142.18636736032076,0.0,True
distilgpt2,S_positive,41,64,lognormal,0.043143399267225324,-143.0164797436258,0.8301123833050497,False
distilgpt2,S_positive,42,64,generalized_gamma,0.05789722830455385,-136.48401751042124,0.11010842535202414,False
distilgpt2,S_positive,42,64,lognormal,0.046094945332701975,-136.37390908506922,0.0,True
distilgpt2,S_positive,43,64,generalized_gamma,0.04790624235208568,-192.6155006774942,0.0,True
distilgpt2,S_positive,43,64,lognormal,0.07606248165634788,-197.2407107210398,4.625210043545593,False
