model,layer,head,mu,nu,tau,k_plus,k_minus,k_T,mode_ratio,shape_ratio,sigma_lambda_correlation,geometric_mean_error
gpt2,0,1,-3.562685215859212,45.45364977874519,14.758999736974367,8.437686198597643,2.1064275194165374,7.185812778430372,1.159801907068896,1.7044762449591546,0.9353514782926399,0.19066368522187385
gpt2,0,2,-17.20562805608609,15.015220484806116,16.322670324324136,6.943351982320291,5.255714875700008,6.931084462125602,1.0155237555460783,1.1473626337067488,0.9922696202674579,0.0531975688070602
gpt2,0,3,-14.907848064900142,45.16779612301481,23.134414630109763,7.111995065458575,5.735460062267726,3.2560634870264096,0.8915312810240689,0.5098154714118087,0.9269995072860006,0.3811081972819536
gpt2,0,4,-15.829036037316838,33.879281501405075,21.096918351202564,8.585741374383977,10.250398783804696,4.1158444547889745,0.9110132478127763,0.4387323634873229,0.9530297277339291,0.3296857873053216
gpt2,0,5,-0.29532462387206615,55.96270925109983,9.097478295497643,7.243718524121307,1.1051444943016089,4.126388888148192,2.237802902152072,1.4584106933463783,0.8219545716316708,0.19889415292033275
gpt2,0,6,-11.112805876479344,8.776492489148888,10.065092100644815,3.736293835702252,4.782569416840844,4.6703851497433675,1.0191671020662567,1.1048454814737225,0.9885355638321344,0.0862540731097161
gpt2,0,7,-30.4600225564501,17.6810521432306,23.01744706109011,3.7160427542912533,12.14163422461091,5.109090889457399,0.9918317125824596,0.7606146834098615,0.9125780023205701,0.36225518369759724
gpt2,0,8,-15.020452759662465,11.662270925238836,13.509477336850228,4.985703948794841,5.468544532589162,6.177071251384327,1.0207172916597573,1.1829965853486617,0.993691439789767,0.07177604883760941
gpt2,0,9,-9.531643635869614,0.340083033342302,3.714096579414898,1.1478241815428978,4.692764786201602,5.072011402972651,2.0628935192770443,2.1853859312854063,0.770573123619552,0.3262439501889451
gpt2,0,10,-0.12674330537984504,11.267950514562692,1.801581997747742,32.0473027287469,1.1840577988400816,2.5503861722181993,1.5075407263756964,0.41402231777654325,0.7060484726848613,0.1903142328012537
gpt2,0,11,-1.7824497858896993,2.863418323622071,2.329063043695165,1.5728659479958529,1.3022821977592591,1.4290089668046901,1.030932408576968,0.9984735091349157,0.9932765258063546,0.05793641206624397
gpt2,1,0,-16.756239000036476,6.636311344129671,11.646944029617902,2.3829957377486446,4.194903907227944,4.537044916631441,1.104486314301335,1.43499516429149,0.9596310467646954,0.12647782002941726
gpt2,1,1,-8.46112422527344,0.7112644707837066,4.087150873362401,1.140005148442874,4.954629179837887,2.250772664705121,1.6660616826405485,0.9470494314749293,0.9445602654827716,0.109576401401503
gpt2,1,2,-0.4902304137412375,0.2086734153355806,0.36447701517773723,1.1657878082105069,1.463039189891741,1.3228975658411852,1.1395580624461457,1.0129511060366114,0.9936632614657305,0.05823347615661337
gpt2,1,3,-0.5354095687169014,,0.2591913808408715,0.9963649918790605,1.6786825413719824,1.2539373804476428,,0.9695770615620454,0.9823699547832507,0.140096726926909
gpt2,1,4,-0.9533567507361339,,0.49431519703597304,0.9483222733728295,1.7259315153201245,1.2851368326400416,,1.0045223774806429,0.9798787672826843,0.1449116070420145
gpt2,1,5,-10.218506166003175,6.836068405637079,10.238476006182337,2.026011052592217,2.973581197404402,4.988633398032945,1.225006551178955,2.032454274729212,0.9874565258746155,0.2748525671983372
gpt2,1,6,-18.635542804622897,12.871710978669071,16.211676509993293,4.529158283254612,5.002236337205536,6.947615894866884,1.0467398681033315,1.4596372817233019,0.9862905652023594,0.10504504803401056
gpt2,1,7,-8.966770403107867,2.487632527817832,5.678626514994437,1.4891889523094017,4.191696662948037,2.7397366781177768,1.2023534881306341,1.0965766590755113,0.9821648686705471,0.05575798235189238
gpt2,1,8,,,,0.50643455852587,0.5976851630961315,0.5475213798486958,,0.9951835253596668,0.9987454633068056,0.03433235717027033
gpt2,1,9,,,,0.5341216960240374,0.6523096856234598,0.5943102245117157,,1.0068532556896919,0.9973573315559164,0.02181227686630921
gpt2,1,10,-0.37016534392394423,0.16882399701534037,0.2044908931107818,1.1658816420951255,1.3725298192080688,1.1844878129381062,0.8180107375678777,0.936359175156952,0.9865924246033659,0.16132840693710523
gpt2,1,11,-0.08447579274225378,16.592613993995577,4.637887724600478,6.261498188664604,1.0239493593465157,2.6244706664371398,3.917388895408754,1.036485794086058,0.786719212867021,0.1598912326209105
gpt2,2,0,-9.390304910948071,2.780989707459704,5.642223233328357,1.8585768397852507,4.386351889925132,3.1922293144720406,1.1041058907014876,1.118026470808699,0.9765627432753299,0.07255803717196352
gpt2,2,1,-13.658542802642517,5.530409228697136,9.815485626135363,1.5514011603969886,3.5231161404711546,2.431011634084665,1.1293562850585208,1.0398279844807785,0.9891134631443206,0.06745742760283528
gpt2,2,2,-22.287474100242836,3.450753280376323,10.599005046709426,1.5224685389342203,10.15156521375693,3.4473175880787053,1.2085864432323534,0.8768809338071814,0.9067524065700052,0.12938486617997189
gpt2,2,3,-12.29890554014439,1.77030658948025,5.905431807800011,1.3996836555842818,8.473212032860205,3.0464961193417,1.2655933464720406,0.8846299657411224,0.9352696825955715,0.09102284353139035
gpt2,2,4,-21.155403092567752,13.66792396587889,17.071814886151262,7.329527039321045,6.302456976874028,7.065389275286085,1.0039631291112365,1.0395447136501248,0.9845221986779611,0.045942139127848475
gpt2,2,5,-12.101177575092043,1.5415176018244894,5.535000268177358,1.3863930882593583,10.206526874541385,3.134288594750786,1.2815323842625468,0.8332144600950863,0.8946159346347652,0.13666038821499502
gpt2,2,6,-3.8900693823845818,2.1825470967168945,2.8739818680370104,1.5622659706942088,2.0497477866265923,1.7227391770110647,0.9863329420230341,0.9627019036271576,0.9937812140547101,0.07594509658049291
gpt2,2,7,-0.731210177900467,0.2779846542089458,0.47956368918296116,1.1705449947845954,1.513213921998355,1.3082178619638214,1.0636892438120318,0.9829600203857723,0.9953304543247785,0.043370569554881375
gpt2,2,8,-15.458572544696098,5.968031919486806,9.907838670271676,3.0534560222894664,10.00052437115486,5.444367420971346,1.0315224004654338,0.9852358484177989,0.9617402342091603,0.06248595042947526
gpt2,2,9,-13.186374296292131,,3.8752673521936822,0.8244619140819386,9.809493250570467,2.1057729796702263,,0.7404623196763924,0.8655133056130954,0.11315686907865426
gpt2,2,10,-2.075542674658648,1.4157224182534796,1.7764145194801417,1.973827807027414,3.262561169197493,2.5877752567651218,1.0363093724843726,1.0197473679838396,0.9953494568820094,0.04213391049789953
gpt2,2,11,-0.9905869500843062,0.07660905224560458,0.5652322769687629,1.03101687819583,1.5113585165703476,1.2670493928336233,2.0518263737303655,1.015025396900322,0.989965663191379,0.05881301646672128
gpt2,3,0,-4.0816977127578005,11.845149951156442,8.140216441699069,7.6213633974821855,1.9411181224747236,5.7494818743303036,1.1706990126199353,1.494811368392336,0.9625736601035082,0.15052874594518312
gpt2,3,1,-7.351362460232423,4.185542260880751,5.475464496210838,2.821183441904394,3.473479350201713,2.9740497821753973,0.987100071801787,0.9500581985387606,0.9940049019324502,0.04083327892205558
gpt2,3,2,-8.703295190793327,3.835274399891096,6.2554547255762545,1.9754295904734203,5.076951487813292,3.385536409412176,1.0827266025410123,1.0690430747363082,0.9894872272617844,0.087745496919482
gpt2,3,3,-10.495244902213884,5.942299626881449,8.321442098252033,2.6457863856022548,4.469292870654152,4.086983739813849,1.0537195407601248,1.188518958799371,0.990133283987244,0.11015705147170407
gpt2,3,4,-8.059950787041839,4.019357914884464,6.851854183558924,2.0232647932672427,4.259429043485232,6.110979407175283,1.2038256054648897,2.0816550483472205,0.9811044274376229,0.2405377121218499
gpt2,3,5,-7.846357494914083,3.6537613703888865,5.558699461710461,2.517947089606531,3.490310568298193,3.2795306923153786,1.0381713945142954,1.1062578453164442,0.9925196993520031,0.044819046236118515
gpt2,3,6,-7.274843261391604,4.117231083937004,5.615419969860845,2.4857493450611003,4.814118642663807,3.496661132970299,1.0260482885053301,1.010802912872074,0.9912072126052006,0.03946515815638045
gpt2,3,7,-9.320917201119892,1.0296652369899448,4.875448479108925,1.1911236187513234,5.721391688620373,2.640167412668589,1.5737553557466026,1.0113516975357466,0.9696604182436338,0.07160482917190975
gpt2,3,8,-8.76638063358403,3.4928718529621245,5.901603144153019,2.232051747776976,5.380818330734523,3.8116981412329483,1.0665187960915197,1.0998721518807735,0.9729119587039124,0.06207570692502802
gpt2,3,9,-9.37090743160077,8.128678795897063,8.689005122442438,4.197708461848513,3.9095930174746916,3.9573410889216,0.9955641467078551,0.9768583042144179,0.9955594838976163,0.03653912269449674
gpt2,3,10,-3.2881582593032688,4.023351377181811,3.4508802742964413,2.996487298472728,2.6421145757626316,2.4601688259911363,0.9487669646652588,0.8743450727856926,0.9930649643042662,0.07458477878089025
gpt2,3,11,-8.462723587307977,5.121394396213566,6.715697915460717,3.0242944870143718,4.788544879697837,4.015076150066993,1.0200981584710105,1.055066822752477,0.9815575122812696,0.04397889786446321
gpt2,4,0,-7.367791408505114,6.023813307741924,6.670953585348655,2.9735697536235897,3.7372904801036335,3.3147600661655305,1.00134447567839,0.9943393019479282,0.9947990390230225,0.0493877487173396
gpt2,4,1,-7.622918530558414,5.601233737399405,6.496037872197968,3.4474989505422298,4.1725909690098,3.6676141385425898,0.9941365954913158,0.9670048672955974,0.9950578039185953,0.03636405930237311
gpt2,4,2,-7.10862698868585,5.183152443903588,6.000154597784437,3.442447281198258,4.018358272436774,3.521832194442081,0.9884906966705037,0.9469143159401752,0.9960840521227489,0.03883298732161358
gpt2,4,3,-6.74983237332294,5.4798605214207425,6.02181054709324,2.9782161918558665,3.5486382312979656,3.1203103184742007,0.9901382588173004,0.9598178303395798,0.9960051322896774,0.034813015517505715
gpt2,4,4,-4.558597608210704,6.130273916064224,5.3667397186537,3.719795977938362,4.238314785710496,4.285605624739095,1.0152078416061643,1.0793344486972305,0.9895605440119128,0.06106107109562657
gpt2,4,5,-6.593226758603373,5.774275741241104,6.197146892692767,3.2170152794413123,3.757380678389424,3.5221201481255076,1.0043706766291645,1.0130596225135922,0.9958324287664511,0.051267827378104244
gpt2,4,6,-5.371467828303849,1.5837550561971099,3.120146389054592,2.314031930222632,4.8943059014744374,3.9251843079777693,1.0697553664031638,1.1663525020950822,0.9451122561197527,0.09190555842089548
gpt2,4,7,-3.212508589495274,6.941401898704668,4.709459204899549,3.9506452669062067,3.240962662334476,3.5108574971947264,0.9972987973720797,0.9811652773731497,0.9890567929589195,0.037859321972005325
gpt2,4,8,-7.077162314176854,5.732727009244976,6.90044797345994,2.7723269655458447,5.242797811850821,5.601970861160151,1.0833457329052796,1.4693899533914698,0.9881064851491119,0.1417663866545798
gpt2,4,9,-7.231783531976247,4.723736257126636,5.825782722096858,3.687812582404019,3.8311532587411583,3.7027509296677574,0.9967557587607471,0.985088651736774,0.994532200404442,0.03900098941887497
gpt2,4,10,-5.86310333333484,6.839680824253233,6.298732901402513,4.165162595753402,4.0212978637594645,3.9809134882800237,0.9946527790108457,0.9727105771056691,0.9850872554020108,0.046675246898127895
